€09/25/02 15:34:48.326 core/Log             FILE OPENED€
€09/25/02 15:34:48.326 J1850               J2190€
€09/25/02 15:36:36.782 J1850               Rx $26 $10 $51 $4 $1 $61 $0 $61€
€09/25/02 15:36:36.831 J1850               Rx $26 $28 $51 $1 $2 $0 $0 $0€
€09/25/02 15:36:36.944 J1850               Rx $26 $80 $51 $1 $2 $0 $0 $0€
€09/25/02 15:36:36.980 J1850               Rx $26 $c0 $51 $1 $1 $0 $0 $0€
€09/25/02 15:36:36.989 J1850               Rx $26 $58 $51 $1 $1 $0 $0 $0€
€09/25/02 15:36:42.730 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:42.761 J1850               BusAck $1 $60€
€09/25/02 15:36:42.832 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:42.997 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:43.021 J1850               BusAck $1 $60€
€09/25/02 15:36:43.057 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:43.232 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:43.267 J1850               BusAck $1 $60€
€09/25/02 15:36:43.304 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:43.492 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:43.530 J1850               BusAck $1 $60€
€09/25/02 15:36:43.571 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:43.722 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:43.769 J1850               BusAck $1 $60€
€09/25/02 15:36:43.825 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:44.004 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:44.051 J1850               BusAck $1 $60€
€09/25/02 15:36:44.109 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:44.273 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:44.317 J1850               BusAck $1 $60€
€09/25/02 15:36:44.385 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:44.579 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:44.602 J1850               BusAck $1 $60€
€09/25/02 15:36:44.678 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:44.966 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:45.004 J1850               BusAck $1 $60€
€09/25/02 15:36:45.030 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:45.228 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:45.253 J1850               BusAck $1 $60€
€09/25/02 15:36:45.282 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:45.435 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:45.465 J1850               BusAck $1 $60€
€09/25/02 15:36:45.525 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:46.161 J1850               Rx $26 $90 $51 $1 $1 $0 $0 $0€
€09/25/02 15:36:46.519 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:46.550 J1850               BusAck $1 $60€
€09/25/02 15:36:46.623 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:46.758 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:46.787 J1850               BusAck $1 $60€
€09/25/02 15:36:46.811 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:46.994 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:47.029 J1850               BusAck $1 $60€
€09/25/02 15:36:47.081 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:47.214 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:47.235 J1850               BusAck $1 $60€
€09/25/02 15:36:47.299 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:47.703 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:47.748 J1850               BusAck $1 $60€
€09/25/02 15:36:47.790 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:48.889 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:48.919 J1850               BusAck $1 $60€
€09/25/02 15:36:48.967 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:49.147 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:49.176 J1850               BusAck $1 $60€
€09/25/02 15:36:49.204 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:49.379 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:49.410 J1850               BusAck $1 $60€
€09/25/02 15:36:49.429 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:49.623 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:49.649 J1850               BusAck $1 $60€
€09/25/02 15:36:49.690 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:49.840 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:49.875 J1850               BusAck $1 $60€
€09/25/02 15:36:49.929 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:51.471 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:51.517 J1850               BusAck $1 $60€
€09/25/02 15:36:51.558 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:51.721 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:51.757 J1850               BusAck $1 $60€
€09/25/02 15:36:51.816 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:52.027 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:52.055 J1850               BusAck $1 $60€
€09/25/02 15:36:52.120 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:53.329 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:53.367 J1850               BusAck $1 $60€
€09/25/02 15:36:53.411 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:53.558 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:53.590 J1850               BusAck $1 $60€
€09/25/02 15:36:53.635 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:53.795 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:53.831 J1850               BusAck $1 $60€
€09/25/02 15:36:53.865 J1850               Rx $26 $10 $62 $0 $0 $0 $0 $0 $0€
€09/25/02 15:36:54.064 J1850               Tx $24 $10 $22 $3 $cf $0€
€09/25/02 15:36:54.095 J1850               BusAck $1 $60€
