// plcout 0
0x0000:     "CLUTCH"        
0x0001:     "DECLUTCH"      
0x0002:     "ZEROSPEED"     
0x0003:     "OVERSPEED"     
0x0004:     "BOOST"         
0x0005:     "VERIFACATION"  
0x0006:     "OPERATOR STAMP"
0x0007:     "ABS TEST SELECTED LAMP"
0x0008:     "TEST (ARM) LAMP"
0x0009:     "NEUTRAL LAMP"
0x000A:     "BRAKE LAMP"
0x000B:     "ACCEPT LAMP"
0x000C:     "FAULT LAMP"
0x000D:     "DRIVERS FAULT SIGNAL"
0x000E:     "START 4WD TEST SIGNAL"
0x000F:     "RETEST SIGNAL"

// plcout 1
0x0010:     "LF DRAG REJECT LAMP"
0x0011:     "RF DRAG REJECT LAMP"
0x0012:     "LR DRAG REJECT LAMP"
0x0013:     "RR DRAG REJECT LAMP"
0x0014:     "LF BRAKE REJECT LAMP"
0x0015:     "RF BRAKE REJECT LAMP"
0x0016:     "LR BRAKE REJECT LAMP"
0x0017:     "RR BRAKE REJECT LAMP"
0x0018:     "FRONT BALANCE REJECT LAMP"
0x0019:     "REAR BALANCE REJECT LAMP"
0x001A:     "FRONT TO REAR BAL REJ LAMP"
0x001B:     "ANTI-LOCK REJECT LAMP"
0x001C:     "POSITRACTION REJECT LAMP"
0x001D:     "AXLE RATIO REJECT LAMP"
0x001E:     "PARKING BRAKE REJECT LAMP"
0x001F:     "--- OPEN ---"

// plcout 2
0x0020:     "WHEELBASE POSITION 1"
0x0021:     "WHEELBASE POSITION 2"
0x0022:     "WHEELBASE POSITION 3"
0x0023:     "WHEELBASE POSITION 4"
0x0024:     "WHEELBASE POSITION 5"
0x0025:     "RWD SELECTED"
0x0026:     "4WD SELECTED"
0x0027:     "PARKING BRAKE TEST"
0x0028:     "WHEELBASE POSITION 7"
0x0029:     "WHEELBASE POSITION 8"
0x002A:     "WHEELBASE POSITION 9"
0x002B:     "WHEELBASE POSITION 10"
0x002C:     "WHEELBASE POSITION 11"
0x002D:     "WHEELBASE POSITION 12"
0x002E:     "FWD SELECTED"
0x002F:     "WHEELBASE POSITION 6"

// plcout 3
0x0030:     "START LAMP"
0x0031:     "ROLL TEST LAMP"
0x0032:     "BRAKE TEST LAMP"
0x0033:     "COMPLETE LAMP"
0x0034:     "ACCEL LAMP"
0x0035:     "40 KPH LAMP"
0x0036:     "TRACTION CONTROL LAMP"
0x0037:     "ECU LAMP"
0x0038:     "HORN SIGNAL"
0x0039:     "START EBS SENSOR TEST"
0x003A:     "CALIBRATE SWITCH ON"
0x003B:     "SIMULATE SWITCH ON" 
0x003C:     "START REVERSE TEST"
0x003D:     "ABS CABLE CONNECTED"
0x003E:     "START JOUNCE (1 SEC PULSE)"
0x003F:     "F.I.S. DATA VALID"

// plcout 4
0x0040:     "FRONT WHEEL DRIVE SELECTED"
0x0041:     "ALL WHEEL DRIVE SELECTED"
0x0042:     "ABS TEST SELECTED"
0x0043:     "MANUAL TRANSMISSION"
0x0044:     "AUTOMATIC TRANSMISSION"
0x0045:     "EATX"
0x0046:     "CRUISE CONTROL SELECTED"
0x0047:     "TILT TEST SELECTED"
0x0048:     "TEST 90% COMPLETE"
0x0049:     "DAY TIME RUNNING LIGHTS SELECTED"
0x004A:     "EBS DRIVE SPEED (ON=LOW,OFF=HIGH)"
0x004B:     "APPLY ROLL BRAKES"
0x004C:     "DECLUTCH FRT AND RE HYD CLUTCHES"
0x004D:     "DECLUTCH FRONT ROLL CLUTCH"
0x004E:     "DECLUTCH REAR ROLL CLUTCH"
0x004F:     "VME SYSTEM READY"

// plcout 5
0x0050:     "UPPER -12V POWER SUPPLY TOL"
0x0051:     "UPPER +12V POWER SUPPLY TOL"
0x0052:     "UPPER +5V POWER SUPPLY TOL"
0x0053:     "LOWER +5V POWER SUPPLY TOL"
0x0054:     "LOWER +12V POWER SUPPLY TOL"
0x0055:     "LOWER -12V POWER SUPPLY TOL"
0x0056:     "+24V POWER SUPPLY TOL"
0x0057:     "POWER SENSE LOST I/O RACK"
0x0058:     "BOOST PRESSURE FAILURE"
0x0059:     "UNIT CONTROLLER COMM. FAULT"
0x005A:     "SSS TESTER COMM. FAULT"
0x005B:     "SCANNER COMMUNICATION FAULT"
0x005C:     "KEYPAD COMMUNICATION FAULT"
0x005D:     "PLC DID NOT INITIALIZE"
0x005E:     "WATT TRANSDUCER FAULT"
0x005F:     "TASK MONITOR FAULT (VME FAULT)"

// plcout 6
0x0060:     "FRONT ROLLS NOT EQL CLUTCH"
0x0061:     "REAR ROLLS NOT EQL CLUTCH"
0x0062:     "LF MACH LOSS CHANGE OVER"
0x0063:     "RF MACH LOSS CHANGE OVER"
0x0064:     "LR MACH LOSS CHANGE OVER"
0x0065:     "RR MACH LOSS CHANGE OVER"
0x0066:     "LF MACH LOSS OVER LIMITS"
0x0067:     "RF MACH LOSS OVER LIMITS"
0x0068:     "LR MACH LOSS OVER LIMITS"
0x0069:     "RR MACH LOSS OVER LIMITS"
0x006A:     "LF ENCODER RUNOUT ERROR"
0x006B:     "RF ENCODER RUNOUT ERROR"
0x006C:     "LR ENCODER RUNOUT ERROR"
0x006D:     "RR ENCODER RUNOUT ERROR"
0x006E:     "CYCLE LIMIT EXCEEDED - CAL"
0x006F:     "CYCLE LIMIT WARNING - CAL"
    
// plcout 7
0x0070:     "START REAR EBS DRIVES"
0x0071:     "KEYBOARD TRIP SWITCH CONTROL"
0x0072:     "4WD FRONT ROLLS HYD ASSIST"
0x0073:     "START PARKING PAWL TEST"
0x0074:     "FATAL FAULT (FLASHER)"
0x0075:     "SEN CROSS & TRAC-LOCK"
0x0076:     "RELEASE LR BRAKE"
0x0077:     "RELEASE LF BRAKE"
0x0078:     "ENGAGE ROLL CLUTCHES WHEN SEN CROSS"
0x0079:     "INTER-ROLL PRES. OFF (FOR CRUISE)"
0x007A:     "FLYWHEEL CLUTCH (NON-BRAKE TESTING)"
0x007B:     "FLYWHEEL DECLUTCH (BRAKE TESTING)"
0x007C:     "TRACTION CONTROL TEST ON"
0x007D:     "START DCL TEST"
0x007E:     "RAISE ROLLS"
